smiles,AChE_class,BuChE_class,BACE1_class,MAO_B_class
C#CCN(CCCCCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1,,,,Moderate
C#CCN(CCCCCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1OC,,,,Moderate
C#CCN(CCCCCCNc1c2c(nc3ccccc13)CCCC2)[C@H](C)Cc1ccc(OC)cc1,,,,Inactive
C#CCN(CCCCCCOc1ccc2c(c1)NC(=O)CC2)Cc1ccccc1,,,,Moderate
C#CCN(CCCCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1,,,,Moderate
C#CCN(CCCCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1OC,,,,Moderate
C#CCN(CCCCCOc1ccc2c(c1)NC(=O)CC2)Cc1ccccc1,,,,Moderate
C#CCN(CCCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1,,,,Moderate
C#CCN(CCCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1OC,,,,Moderate
C#CCN(CCCCOc1ccc2c(c1)NC(=O)CC2)Cc1ccccc1,,,,Moderate
C#CCN(CCCCOc1ccc2ccc(=O)oc2c1)Cc1ccc(C(C)C)cc1,,,,Moderate
C#CCN(CCCCOc1ccc2ccc(=O)oc2c1)Cc1ccc(C)cc1,,,,Moderate
C#CCN(CCCCOc1ccc2ccc(=O)oc2c1)Cc1ccc(F)c(F)c1,,,,Moderate
C#CCN(CCCCOc1ccc2ccc(=O)oc2c1)Cc1ccc(OC)cc1,,,,Moderate
C#CCN(CCCCOc1ccc2ccc(=O)oc2c1)Cc1cccc(F)c1,,,,Moderate
C#CCN(CCCCOc1ccc2ccc(=O)oc2c1)Cc1cccc(OC)c1,,,,Moderate
C#CCN(CCCCOc1ccc2ccc(=O)oc2c1)Cc1ccccc1,,,,Moderate
C#CCN(CCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1,Moderate,Moderate,,Moderate
C#CCN(CCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1OC,,,,Moderate
C#CCN(CCCOc1ccc2c(c1)NC(=O)CC2)Cc1ccccc1,,,,Moderate
C#CCN(CCCOc1ccc2ccc(=O)oc2c1)Cc1ccc(C(C)C)cc1,,,,Moderate
C#CCN(CCCOc1ccc2ccc(=O)oc2c1)Cc1ccc(C)cc1,,,,Moderate
C#CCN(CCCOc1ccc2ccc(=O)oc2c1)Cc1ccc(F)c(F)c1,,,,Moderate
C#CCN(CCCOc1ccc2ccc(=O)oc2c1)Cc1ccc(OC)cc1,,,,Moderate
C#CCN(CCCOc1ccc2ccc(=O)oc2c1)Cc1cccc(F)c1,,,,Moderate
C#CCN(CCCOc1ccc2ccc(=O)oc2c1)Cc1cccc(OC)c1,,,,Moderate
C#CCN(CCCOc1ccc2ccc(=O)oc2c1)Cc1ccccc1,,,,Moderate
C#CCN(CCCc1ccccc1)Cc1cccc(OC)c1OCc1ccccc1,,Moderate,,
C#CCN(CCOc1ccc2ccc(=O)oc2c1)Cc1ccc(C(C)C)cc1,,,,Moderate
C#CCN(CCOc1ccc2ccc(=O)oc2c1)Cc1ccc(C)cc1,,,,Moderate
C#CCN(CCOc1ccc2ccc(=O)oc2c1)Cc1ccc(F)c(F)c1,,,,Moderate
C#CCN(CCOc1ccc2ccc(=O)oc2c1)Cc1ccc(OC)cc1,,,,Moderate
C#CCN(CCOc1ccc2ccc(=O)oc2c1)Cc1cccc(F)c1,,,,Moderate
C#CCN(CCOc1ccc2ccc(=O)oc2c1)Cc1cccc(OC)c1,,,,Moderate
C#CCN(CCOc1ccc2ccc(=O)oc2c1)Cc1ccccc1,,,,Moderate
C#CCN(CCc1ccc(O)cc1)Cc1cccc(OC)c1OCc1ccccc1,,Moderate,,
C#CCN(CCc1ccc(OC)cc1)Cc1cccc(OC)c1OCc1ccccc1,,Moderate,,
C#CCN(Cc1ccc(O)c2ncccc12)C(C#N)CCC1CCN(Cc2ccccc2)CC1,Moderate,Moderate,,Inactive
C#CCN(Cc1ccc(OCc2cccc(F)c2)cc1)[C@@H](C)C(N)=O,,,,Moderate
C#CCN(Cc1ccc(OCc2cccc(F)c2)cc1C)[C@@H](C)C(N)=O,,,,Moderate
C#CCN(Cc1ccc(OCc2cccc(F)c2)cc1Cl)[C@@H](C)C(N)=O,,,,Active
C#CCN(Cc1ccc(OCc2cccc(F)c2)cc1F)[C@@H](C)C(N)=O,,,,Active
C#CCN(Cc1ccc2cccc(O)c2n1)C(C#N)C1CCN(Cc2ccccc2)CC1,Inactive,Active,,
C#CCN(Cc1ccc2cccc(O)c2n1)C(C#N)CC1CCN(Cc2ccccc2)CC1,Moderate,Active,,
C#CCN(Cc1ccc2cccc(O)c2n1)C(C#N)CCC1CCN(Cc2ccccc2)CC1,Active,Active,,
C#CCN(Cc1ccc2cccc(O)c2n1)CC1CCN(Cc2ccccc2)CC1,Moderate,Active,,
C#CCN1C(=O)C(=O)c2cc(S(=O)(=O)N(C)Cc3cccc(F)c3)ccc21,,,,Inactive
C#CCN1C(=O)C(=O)c2cc(S(=O)(=O)N(C)Cc3ccccc3F)ccc21,,,,Inactive
C#CCN1C(=O)C(=O)c2ccccc21,,,,Inactive
